path,kind,size_bytes,size_mb,size_gb,ext,relpath
data\user_data\D3\tabular\tabular_000257.csv,csv,15295837,14.587246894836426,0.014245358295738697,.csv,tabular\tabular_000257.csv
data\user_data\D3\tabular\tabular_000258.csv,csv,1859876,1.7737159729003906,0.0017321445047855377,.csv,tabular\tabular_000258.csv
data\user_data\D3\tabular\tabular_000259.csv,csv,2687022,2.5625438690185547,0.0025024842470884323,.csv,tabular\tabular_000259.csv
data\user_data\D3\tabular\tabular_000260.csv,csv,3096445,2.953000068664551,0.0028837891295552254,.csv,tabular\tabular_000260.csv
data\user_data\D3\tabular\tabular_000261.csv,csv,17251892,16.452686309814453,0.016067076474428177,.csv,tabular\tabular_000261.csv
data\user_data\D3\tabular\tabular_000262.csv,csv,1214280,1.1580276489257812,0.0011308863759040833,.csv,tabular\tabular_000262.csv
data\user_data\D3\tabular\tabular_000263.csv,csv,7692023,7.335684776306152,0.007163754664361477,.csv,tabular\tabular_000263.csv
data\user_data\D3\tabular\tabular_000264.csv,csv,2351518,2.242582321166992,0.002190021798014641,.csv,tabular\tabular_000264.csv
data\user_data\D3\tabular\tabular_000265.csv,csv,2765796,2.6376686096191406,0.002575848251581192,.csv,tabular\tabular_000265.csv
data\user_data\D3\tabular\tabular_000266.csv,csv,7945033,7.576973915100098,0.007399388588964939,.csv,tabular\tabular_000266.csv
data\user_data\D3\tabular\tabular_000267.csv,csv,3340630,3.185873031616211,0.003111204132437706,.csv,tabular\tabular_000267.csv
data\user_data\D3\tabular\tabular_000268.csv,csv,1319344,1.2582244873046875,0.0012287348508834839,.csv,tabular\tabular_000268.csv
data\user_data\D3\tabular\tabular_000269.csv,csv,4260919,4.063529014587402,0.00396829005330801,.csv,tabular\tabular_000269.csv
data\user_data\D3\tabular\tabular_000270.csv,csv,9204763,8.778346061706543,0.008572603575885296,.csv,tabular\tabular_000270.csv
data\user_data\D3\tabular\tabular_000271.csv,csv,1276124,1.2170066833496094,0.001188483089208603,.csv,tabular\tabular_000271.csv
data\user_data\D3\tabular\tabular_000272.csv,csv,1795398,1.7122249603271484,0.001672094687819481,.csv,tabular\tabular_000272.csv
data\user_data\D3\tabular\tabular_000273.csv,csv,17909604,17.07992935180664,0.016679618507623672,.csv,tabular\tabular_000273.csv
data\user_data\D3\tabular\tabular_000274.csv,csv,9598842,9.154169082641602,0.008939618244767189,.csv,tabular\tabular_000274.csv
data\user_data\D3\tabular\tabular_000275.csv,csv,1432753,1.366379737854004,0.0013343552127480507,.csv,tabular\tabular_000275.csv
data\user_data\D3\tabular\tabular_000276.csv,csv,2293513,2.1872644424438477,0.00213600043207407,.csv,tabular\tabular_000276.csv
data\user_data\D3\tabular\tabular_000277.csv,csv,4740753,4.521134376525879,0.004415170289576054,.csv,tabular\tabular_000277.csv
data\user_data\D3\tabular\tabular_000278.csv,csv,7764584,7.404884338378906,0.007231332361698151,.csv,tabular\tabular_000278.csv
data\user_data\D3\tabular\tabular_000279.csv,csv,4633449,4.418801307678223,0.004315235652029514,.csv,tabular\tabular_000279.csv
data\user_data\D3\tabular\tabular_000280.csv,csv,19356577,18.45987033843994,0.018027217127382755,.csv,tabular\tabular_000280.csv
data\user_data\D3\tabular\tabular_000281.csv,csv,3032030,2.891569137573242,0.0028237979859113693,.csv,tabular\tabular_000281.csv
data\user_data\D3\tabular\tabular_000282.csv,csv,3895303,3.714850425720215,0.0036277836188673973,.csv,tabular\tabular_000282.csv
data\user_data\D3\tabular\tabular_000283.csv,csv,2254975,2.1505117416381836,0.0021001091226935387,.csv,tabular\tabular_000283.csv
data\user_data\D3\tabular\tabular_000284.csv,csv,3243676,3.0934104919433594,0.003020908683538437,.csv,tabular\tabular_000284.csv
data\user_data\D3\tabular\tabular_000285.csv,csv,3892420,3.7121009826660156,0.003625098615884781,.csv,tabular\tabular_000285.csv
data\user_data\D3\tabular\tabular_000286.csv,csv,2104268,2.006786346435547,0.0019597522914409637,.csv,tabular\tabular_000286.csv
data\user_data\D3\tabular\tabular_000287.csv,csv,18109061,17.270146369934082,0.016865377314388752,.csv,tabular\tabular_000287.csv
data\user_data\D3\tabular\tabular_000288.csv,csv,14839350,14.151906967163086,0.013820221647620201,.csv,tabular\tabular_000288.csv
data\user_data\D3\tabular\tabular_000289.csv,csv,1799506,1.7161426544189453,0.0016759205609560013,.csv,tabular\tabular_000289.csv
data\user_data\D3\tabular\tabular_000290.csv,csv,14378436,13.712345123291016,0.013390962034463882,.csv,tabular\tabular_000290.csv
data\user_data\D3\tabular\tabular_000291.csv,csv,1748439,1.6674413681030273,0.0016283607110381126,.csv,tabular\tabular_000291.csv
data\user_data\D3\tabular\tabular_000292.csv,csv,1701857,1.6230173110961914,0.0015849778428673744,.csv,tabular\tabular_000292.csv
data\user_data\D3\tabular\tabular_000293.csv,csv,17120875,16.327738761901855,0.01594505738466978,.csv,tabular\tabular_000293.csv
data\user_data\D3\tabular\tabular_000294.csv,csv,18908463,18.03251552581787,0.017609878443181515,.csv,tabular\tabular_000294.csv
data\user_data\D3\tabular\tabular_000295.csv,csv,16280437,15.52623462677002,0.015162338502705097,.csv,tabular\tabular_000295.csv
data\user_data\D3\tabular\tabular_000296.csv,csv,6768041,6.454506874084473,0.006303229369223118,.csv,tabular\tabular_000296.csv
data\user_data\D3\tabular\tabular_000297.csv,csv,10229885,9.75597858428955,0.009527322836220264,.csv,tabular\tabular_000297.csv
data\user_data\D3\tabular\tabular_000298.csv,csv,1377713,1.313889503479004,0.0012830952182412148,.csv,tabular\tabular_000298.csv
data\user_data\D3\tabular\tabular_000299.csv,csv,1129544,1.0772171020507812,0.001051969826221466,.csv,tabular\tabular_000299.csv
data\user_data\D3\tabular\tabular_000300.csv,csv,2437432,2.3245162963867188,0.002270035445690155,.csv,tabular\tabular_000300.csv
data\user_data\D3\tabular\tabular_000301.csv,csv,2309322,2.202341079711914,0.002150723710656166,.csv,tabular\tabular_000301.csv
data\user_data\D3\tabular\tabular_000302.csv,csv,11534558,11.000211715698242,0.010742394253611565,.csv,tabular\tabular_000302.csv
data\user_data\D3\tabular\tabular_000303.csv,csv,14289908,13.627918243408203,0.013308513909578323,.csv,tabular\tabular_000303.csv
data\user_data\D3\tabular\tabular_000304.csv,csv,4973851,4.743433952331543,0.004632259719073772,.csv,tabular\tabular_000304.csv
data\user_data\D3\tabular\tabular_000305.csv,csv,13595244,12.965435028076172,0.012661557644605637,.csv,tabular\tabular_000305.csv
data\user_data\D3\tabular\tabular_000306.csv,csv,16836240,16.056289672851562,0.015679970383644104,.csv,tabular\tabular_000306.csv
data\user_data\D3\tabular\tabular_000307.csv,csv,9419421,8.983059883117676,0.008772519417107105,.csv,tabular\tabular_000307.csv
data\user_data\D3\tabular\tabular_000308.csv,csv,1250483,1.1925535202026367,0.0011646030470728874,.csv,tabular\tabular_000308.csv
data\user_data\D3\video\video_000000.mp4,binaries,72167303,68.82410335540771,0.06721103843301535,.mp4,video\video_000000.mp4
data\user_data\D3\video\video_000001.mp4,binaries,57300719,54.64622402191162,0.05336545314639807,.mp4,video\video_000001.mp4
data\user_data\D3\video\video_000002.mp4,binaries,228102825,217.53580570220947,0.21243731025606394,.mp4,video\video_000002.mp4
data\user_data\D3\video\video_000003.mp4,binaries,178984739,170.69314861297607,0.16669252794235945,.mp4,video\video_000003.mp4
data\user_data\D3\video\video_000004.mp4,binaries,207527482,197.91362953186035,0.19327502883970737,.mp4,video\video_000004.mp4
data\user_data\D3\video\video_000005.mp4,binaries,103163032,98.3839340209961,0.096078060567379,.mp4,video\video_000005.mp4
data\user_data\D3\video\video_000006.mp4,binaries,48371704,46.13085174560547,0.04504965990781784,.mp4,video\video_000006.mp4
data\user_data\D3\video\video_000007.mp4,binaries,93008317,88.6996431350708,0.08662074524909258,.mp4,video\video_000007.mp4
data\user_data\D3\video\video_000008.mp4,binaries,46177584,44.03837585449219,0.04300622642040253,.mp4,video\video_000008.mp4
