algorithm,keygen_us,encaps_us,decaps_us
Kyber768,6375.0,8127.9,11684.1
Kyber768,6350.9,8152.8,10904.8
Kyber768,7169.7,8003.3,11951.6
Kyber768,6339.3,9419.0,12526.0
Kyber768,7081.9,8636.4,15611.4
Kyber768,6318.0,11240.7,14238.3
Kyber768,6361.2,8263.8,12219.9
Kyber768,7021.1,10878.2,11233.2
Kyber768,7931.0,16031.1,21277.2
Kyber768,6338.8,8544.3,12197.0
Kyber768,6367.1,9134.6,10954.4
Kyber768,12107.9,8106.7,12349.0
Kyber768,6563.0,8974.7,11982.1
Kyber768,6337.7,11373.1,11410.4
Kyber768,6369.1,8036.2,11202.5
Kyber768,6727.9,8307.4,13167.1
Kyber768,6641.0,9312.0,11064.9
Kyber768,7342.8,8047.6,11277.5
Kyber768,6347.3,8836.0,11473.9
Kyber768,6380.8,12433.9,19140.0
Kyber768,8637.4,11005.8,12018.2
Kyber768,6342.0,9194.9,10932.5
Kyber768,7750.9,8065.3,12790.5
