path,pipeline,description,size_mb,throughput_mbps
data\user_data\D1\PXL_20260322_153056438.TS-000.MP.jpg,D,gzip + AES + KEM,6.3701629638671875,16.981006188858117
data\user_data\D1\PXL_20260322_212502356.mp4,A,zstd + AES + KEM,16.0,179.6005235410807
data\user_data\D1\PXL_20260322_212502356.mp4,B,raw + AES + KEM,16.0,291.53775251309196
data\user_data\D1\PXL_20260322_212502356.mp4,C,raw + AES,16.0,764.6100262344905
data\user_data\D1\PXL_20260322_212502356.mp4,D,gzip + AES + KEM,16.0,18.78586706149945
data\user_data\D1\PXL_20260329_183242702.mp4,A,zstd + AES + KEM,16.0,165.05224943472388
data\user_data\D1\PXL_20260329_183242702.mp4,B,raw + AES + KEM,16.0,290.2641767249642
data\user_data\D1\PXL_20260329_183242702.mp4,C,raw + AES,16.0,743.6257338460073
data\user_data\D1\PXL_20260329_183242702.mp4,D,gzip + AES + KEM,16.0,18.749194371257868
data\user_data\D1\PXL_20260330_172754088.mp4,A,zstd + AES + KEM,16.0,173.69403770556235
data\user_data\D1\PXL_20260330_172754088.mp4,B,raw + AES + KEM,16.0,282.99150341911843
data\user_data\D1\PXL_20260330_172754088.mp4,C,raw + AES,16.0,767.4044952947846
data\user_data\D1\PXL_20260330_172754088.mp4,D,gzip + AES + KEM,16.0,19.27788883864141
data\user_data\D1\PXL_20260405_072953716.mp4,A,zstd + AES + KEM,16.0,163.41621598283615
data\user_data\D1\PXL_20260405_072953716.mp4,B,raw + AES + KEM,16.0,282.92244713381984
data\user_data\D1\PXL_20260405_072953716.mp4,C,raw + AES,16.0,769.3565304490237
data\user_data\D1\PXL_20260405_072953716.mp4,D,gzip + AES + KEM,16.0,19.100383856856936
data\user_data\D1\PXL_20260405_100514278.jpg,A,zstd + AES + KEM,6.301202774047852,86.54927661202325
data\user_data\D1\PXL_20260405_100514278.jpg,B,raw + AES + KEM,6.301202774047852,146.00853568401698
data\user_data\D1\PXL_20260405_100514278.jpg,C,raw + AES,6.301202774047852,721.9361131673983
data\user_data\D1\PXL_20260405_100514278.jpg,D,gzip + AES + KEM,6.301202774047852,17.535557754732224
data\user_data\D1\PXL_20260405_100643998.MP.jpg,A,zstd + AES + KEM,6.9878950119018555,103.62600083934808
data\user_data\D1\PXL_20260405_100643998.MP.jpg,B,raw + AES + KEM,6.9878950119018555,164.16226225029467
data\user_data\D1\PXL_20260405_100643998.MP.jpg,C,raw + AES,6.9878950119018555,762.5792524026199
data\user_data\D1\PXL_20260405_100643998.MP.jpg,D,gzip + AES + KEM,6.9878950119018555,17.316104720522606
data\user_data\D1\PXL_20260405_100658032.MP.jpg,A,zstd + AES + KEM,6.779688835144043,96.5621833651763
data\user_data\D1\PXL_20260405_100658032.MP.jpg,B,raw + AES + KEM,6.779688835144043,159.37021979872551
data\user_data\D1\PXL_20260405_100658032.MP.jpg,C,raw + AES,6.779688835144043,748.4917793808451
data\user_data\D1\PXL_20260405_100658032.MP.jpg,D,gzip + AES + KEM,6.779688835144043,17.076974937501245
data\user_data\D1\PXL_20260405_100703078.MP.jpg,A,zstd + AES + KEM,6.8275346755981445,95.04719525650158
data\user_data\D1\PXL_20260405_100703078.MP.jpg,B,raw + AES + KEM,6.8275346755981445,156.31733295257285
data\user_data\D1\PXL_20260405_100703078.MP.jpg,C,raw + AES,6.8275346755981445,754.6071634319142
data\user_data\D1\PXL_20260405_100703078.MP.jpg,D,gzip + AES + KEM,6.8275346755981445,16.0832207349263
