path,pipeline,size_mb,t_comp_ms,t_aes_ms,t_kem_ms,t_total_ms
data\user_data\D1\PXL_20251225_090206837.MP.jpg,B,6.6897783279418945,0.0,8.847900026012212,35.335499967914075,44.18339999392629
data\user_data\D1\PXL_20251225_090206837.MP.jpg,C,6.6897783279418945,0.0,8.843899995554239,0.0,8.843899995554239
data\user_data\D1\PXL_20251225_090206837.MP.jpg,D,6.6897783279418945,345.8814999903552,9.488600015174598,35.51739995600656,390.8874999615364
data\user_data\D1\PXL_20251225_090219896.MP.jpg,A,6.364558219909668,22.159799991641194,8.557000022847205,37.35150001011789,68.06830002460629
data\user_data\D1\PXL_20251225_090219896.MP.jpg,B,6.364558219909668,0.0,8.860800007823855,42.32979996595532,51.19059997377917
data\user_data\D1\PXL_20251225_090219896.MP.jpg,C,6.364558219909668,0.0,8.769799955189228,0.0,8.769799955189228
data\user_data\D1\PXL_20251225_090219896.MP.jpg,D,6.364558219909668,333.4414000273682,9.502300003077835,35.26090004015714,378.2046000706032
data\user_data\D1\PXL_20251225_090327132.MP.jpg,A,6.264394760131836,21.719700016546994,8.228599966969341,34.18790001887828,64.13620000239462
data\user_data\D1\PXL_20251225_090327132.MP.jpg,B,6.264394760131836,0.0,8.418900019023567,37.8641999559477,46.283099974971265
data\user_data\D1\PXL_20251225_090327132.MP.jpg,C,6.264394760131836,0.0,8.662199950776994,0.0,8.662199950776994
data\user_data\D1\PXL_20251225_090327132.MP.jpg,D,6.264394760131836,311.82890001218766,8.6066999938339,32.46920002857223,352.9048000345938
data\user_data\D1\PXL_20251225_201550669.TS-000.MP.jpg,A,6.23698616027832,24.075599969364703,8.129300025757402,35.147299990057945,67.35219998518005
data\user_data\D1\PXL_20251225_201550669.TS-000.MP.jpg,B,6.23698616027832,0.0,8.88949999352917,33.49270002217963,42.382200015708804
data\user_data\D1\PXL_20251225_201550669.TS-000.MP.jpg,C,6.23698616027832,0.0,8.354000048711896,0.0,8.354000048711896
data\user_data\D1\PXL_20251225_201550669.TS-000.MP.jpg,D,6.23698616027832,308.82400000700727,7.9073000233620405,46.33659997489303,363.06790000526235
data\user_data\D1\PXL_20251226_065017813.MP.jpg,A,6.1597700119018555,23.633700038772076,7.915200025308877,32.78589999536052,64.33480005944148
data\user_data\D1\PXL_20251226_065017813.MP.jpg,B,6.1597700119018555,0.0,8.564899966586381,31.72559995437041,40.29049992095679
data\user_data\D1\PXL_20251226_065017813.MP.jpg,C,6.1597700119018555,0.0,8.146799984388053,0.0,8.146799984388053
data\user_data\D1\PXL_20251226_065017813.MP.jpg,D,6.1597700119018555,312.92180001037195,7.920200005173683,40.4215999878943,361.26360000343993
data\user_data\D1\PXL_20251226_065523407.TS-000.MP.jpg,A,6.092905044555664,29.96699995128438,8.103100000880659,33.47570000914857,71.5457999613136
data\user_data\D1\PXL_20251226_065523407.TS-000.MP.jpg,B,6.092905044555664,0.0,8.54890001937747,40.44830001657829,48.99720003595576
data\user_data\D1\PXL_20251226_065523407.TS-000.MP.jpg,C,6.092905044555664,0.0,8.268600038718432,0.0,8.268600038718432
data\user_data\D1\PXL_20251226_065523407.TS-000.MP.jpg,D,6.092905044555664,309.6112000057474,7.561399950645864,33.20550004718825,350.3781000035815
data\user_data\D1\PXL_20251226_065644794.MP.jpg,A,6.229752540588379,23.830699967220426,8.166199957486242,32.73460001219064,64.73149993689731
data\user_data\D1\PXL_20251226_065644794.MP.jpg,B,6.229752540588379,0.0,8.022000023629516,32.30330004589632,40.32530006952584
data\user_data\D1\PXL_20251226_065644794.MP.jpg,C,6.229752540588379,0.0,8.425100008025765,0.0,8.425100008025765
data\user_data\D1\PXL_20251226_065644794.MP.jpg,D,6.229752540588379,313.2664999575354,8.02140001906082,36.79909999482334,358.0869999714196
data\user_data\D1\PXL_20251226_070459627.MP.jpg,A,6.312774658203125,22.866200015414506,8.296000014524907,32.400600030086935,63.56280006002635
data\user_data\D1\PXL_20251226_070459627.MP.jpg,B,6.312774658203125,0.0,8.210500003769994,32.507100026123226,40.71760002989322
