path,kind,size_bytes,payload_bytes_processed,l_io_read_ms,l_io_write_ms,l_kem_ms,l_aes_ms,l_total_ms,kem_ok,aes_ok,kem_ciphertext_bytes,aes_ciphertext_bytes,dataset_id,run_id,file_index
data\user_data\D1\PXL_20260405_100830981.MP.jpg,images,6968675,6968675,8.6033,0.0,39.3546,9.8397,57.797599999999996,True,True,1568,6968691,D1,D1_r1,67
data\user_data\D1\PXL_20260405_100843422.MP.jpg,images,6549141,6549141,7.3765,0.0,40.1877,9.1242,56.6884,True,True,1568,6549157,D1,D1_r1,68
data\user_data\D1\PXL_20260405_100902851.TS-000.MP.jpg,images,7004120,7004120,7.9543,0.0,41.5154,9.7018,59.1715,True,True,1568,7004136,D1,D1_r1,69
data\user_data\D1\PXL_20260405_110024188.mp4,binaries,62629606,62629606,62.926,0.0,38.3384,86.8775,188.1419,True,True,1568,62629622,D1,D1_r1,70
data\user_data\D1\PXL_20260405_110559809.mp4,binaries,185262553,185262553,293.1375,0.0,42.2555,319.5477,654.9407,True,True,1568,185262569,D1,D1_r1,71
data\user_data\D1\PXL_20260405_142459483.mp4,binaries,90928587,90928587,99.87,0.0,38.203,128.2169,266.2899,True,True,1568,90928603,D1,D1_r1,72
data\user_data\D1\PXL_20260405_142548278.mp4,binaries,229207841,229207841,331.0112,0.0,42.8347,415.5981,789.444,True,True,1568,229207857,D1,D1_r1,73
data\user_data\D1\PXL_20260405_142812330.mp4,binaries,39663899,39663899,44.2225,0.0,40.061,53.584,137.8675,True,True,1568,39663915,D1,D1_r1,74
data\user_data\D1\PXL_20260405_143125404.jpg,images,6474228,6474228,7.9328,0.0,40.1944,8.7784,56.9056,True,True,1568,6474244,D1,D1_r1,75
data\user_data\D1\PXL_20260405_143129513.MP.jpg,images,6729485,6729485,8.7116,0.0,40.4632,9.3933,58.5681,True,True,1568,6729501,D1,D1_r1,76
data\user_data\D1\PXL_20260405_143232056.mp4,binaries,116525932,116525932,145.2738,0.0,36.9691,169.123,351.3659,True,True,1568,116525948,D1,D1_r1,77
data\user_data\D1\PXL_20260405_143739366.mp4,binaries,44635832,44635832,50.6967,0.0,50.0384,73.1611,173.89620000000002,True,True,1568,44635848,D1,D1_r1,78
data\user_data\D1\PXL_20260405_144509384.mp4,binaries,88830210,88830210,103.4267,0.0,44.8348,131.2377,279.4992,True,True,1568,88830226,D1,D1_r1,79
data\user_data\D1\PXL_20260405_145838160.mp4,binaries,69516819,69516819,88.1339,0.0,45.7695,101.2176,235.121,True,True,1568,69516835,D1,D1_r1,80
data\user_data\D1\PXL_20260405_151013056.PORTRAIT.jpg,images,6372266,6372266,7.4717,0.0,39.977,9.0758,56.524499999999996,True,True,1568,6372282,D1,D1_r1,81
